,Date,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,,INFY.NS,RELIANCE.NS,TATAMOTORS.NS,INFY.NS,RELIANCE.NS,TATAMOTORS.NS,INFY.NS,RELIANCE.NS,TATAMOTORS.NS,INFY.NS,RELIANCE.NS,TATAMOTORS.NS,INFY.NS,RELIANCE.NS,TATAMOTORS.NS,INFY.NS,RELIANCE.NS,TATAMOTORS.NS
0,2022-09-14,1420.9773,2579.2390,448.8012,1475.4000,2588.3501,450.2000,1498.9500,2610.0000,454.7000,1472.0000,2572.7500,447.0000,1497.0000,2575.0000,447.6000,14332197,4004997,10360461
1,2022-09-15,1379.9489,2553.6792,445.8604,1432.8000,2562.7000,447.2500,1475.2000,2603.5500,455.8500,1429.0500,2556.7500,446.0500,1475.0000,2583.0000,452.4000,12784100,4783723,10356713
2,2022-09-16,1326.2552,2490.4028,431.1562,1377.0500,2499.2000,432.5000,1425.0000,2553.0000,446.4000,1368.3500,2491.0000,429.1000,1425.0000,2543.7500,446.0000,20464045,9330469,20992324
3,2022-09-19,1339.0164,2493.6414,424.1281,1390.3000,2502.4500,425.4500,1406.0000,2522.7000,431.6000,1380.6000,2481.3501,424.0500,1392.0000,2499.2000,431.5000,6595241,3498286,15236142
4,2022-09-20,1337.3309,2494.0400,432.9008,1388.5500,2502.8501,434.2500,1413.5500,2537.7000,443.3500,1385.1000,2494.7000,430.6000,1407.9500,2522.4500,430.6000,7219797,3881882,17557661
5,2022-09-21,1326.4478,2500.9158,426.3213,1377.2500,2509.7500,427.6500,1388.8000,2533.0000,436.0000,1368.4000,2495.0000,425.5000,1379.9000,2496.7500,433.9500,7917054,4249172,10831068
6,2022-09-22,1317.4908,2477.3489,430.8571,1367.9500,2486.1001,432.2000,1383.9500,2503.0000,434.6000,1360.0000,2472.1001,422.5500,1366.3500,2486.0000,425.0000,9168498,4757219,13600786
7,2022-09-23,1315.0830,2430.9128,421.7854,1365.4500,2439.5000,423.1000,1394.8000,2495.9500,431.9000,1362.0000,2436.1001,420.5500,1367.5000,2485.0000,431.9000,10426200,4397194,13441609
8,2022-09-26,1329.3370,2368.9817,396.2650,1380.2500,2377.3501,397.5000,1399.4500,2417.8000,417.9000,1355.0000,2375.1499,393.1500,1360.0000,2394.0500,416.0000,9414587,5759298,33230938
